beneficiary_id,aadhaar,name,scheme,district,amount,transaction_date,withdrawn,status
B115673,883922167591,Mahesh S.,PM-KISAN,Rajkot,1000,2025-03-21,0,SUCCESS
B115674,613976321127,Ramesh Patel,PM-KISAN,Bhavnagar,5000,2025-05-17,0,FAILED
B115675,951275854304,Kiran Desai,Scholarship,Rajkot,3000,2025-02-22,1,FAILED
B115676,370432819444,Amit Joshi,PM-KISAN,Surat,1000,2025-03-20,1,FAILED
B115677,566963655393,Ramesh Patel,Pension,Surat,3000,2025-10-06,0,FAILED
B115678,269688523989,Amit Joshi,Scholarship,Surat,5000,2025-11-14,0,FAILED
B115679,354422588250,Ramesh Patel,PM-KISAN,Ahmedabad,1000,2024-11-22,1,FAILED
B115680,496923213750,Amit Joshi,Pension,Surat,5000,2023-12-17,0,SUCCESS
B115681,807668943441,Ramesh Patel,PM-KISAN,Ahmedabad,1000,2025-04-23,1,SUCCESS
B115682,847453244666,Suresh Patel,Pension,Vadodara,1000,2025-12-04,0,FAILED
B115683,699430997235,Amit J.,Scholarship,Ahmedabad,5000,2025-01-17,0,FAILED
B115684,324057897662,Mahesh Shah,Pension,Vadodara,1000,2025-06-09,0,SUCCESS
B115685,234873915965,Mahesh Shah,Scholarship,Vadodara,5000,2025-12-03,1,FAILED
B115686,244263888689,Kiran Desai,PM-KISAN,Vadodara,5000,2023-12-13,1,FAILED
B115687,236705582778,Kiran Desai,PM-KISAN,Ahmedabad,3000,2025-02-24,1,FAILED
B115688,760830482079,Ramesh Patel,PM-KISAN,Bhavnagar,5000,2024-09-06,0,FAILED
B115689,343500044982,Mahesh S.,Scholarship,Rajkot,2000,2025-12-08,1,FAILED
B115690,576594028896,Suresh Patel,Pension,Surat,1000,2025-05-03,1,FAILED
B115691,583345751526,Ramesh Patel,Pension,Surat,3000,2023-09-19,1,SUCCESS
B115692,352661054341,Suresh Patel,PM-KISAN,Ahmedabad,3000,2023-11-16,0,FAILED
B115693,521637231083,Kiran D.,Scholarship,Bhavnagar,2000,2025-07-09,1,FAILED
B115694,270761033606,Kiran Desai,PM-KISAN,Surat,1000,2024-11-23,1,SUCCESS
B115695,371361780788,Ramesh Patel,Scholarship,Vadodara,1000,2025-01-09,1,SUCCESS
B115696,186677163526,Mahesh Shah,PM-KISAN,Vadodara,3000,2025-12-19,1,FAILED
B115697,386433901984,Amit Joshi,Pension,Surat,1000,2023-10-09,0,FAILED
B115698,660347329946,Ramesh Patel,Scholarship,Surat,2000,2023-11-17,1,SUCCESS
B115699,935268796789,Amitbhai Joshi,Scholarship,Vadodara,1000,2025-06-23,0,SUCCESS
B115700,306934900711,Kiran Desai,PM-KISAN,Ahmedabad,5000,2024-04-19,0,FAILED
B115701,114367160992,Suresh Patel,PM-KISAN,Ahmedabad,1000,2024-04-15,0,FAILED
B115702,953914547016,Suresh Patel,PM-KISAN,Surat,2000,2025-04-20,0,FAILED
B115703,812081226251,Ramesh Patel,Scholarship,Bhavnagar,2000,2025-04-27,1,SUCCESS
B115704,404042384488,Rmsh Patel,Scholarship,Surat,2000,2024-12-16,0,SUCCESS
B115705,389958057876,Ramesh Patel,Pension,Bhavnagar,1000,2023-04-01,1,FAILED
B115706,328391332970,Kiran Desai,Pension,Surat,3000,2025-09-09,0,FAILED
B115707,123611346768,Kiranben Desai,Scholarship,Surat,2000,2025-06-03,0,FAILED
B115708,382306199164,Maheshbhai Shah,Scholarship,Surat,2000,2024-10-05,0,SUCCESS
B115709,227253749892,Rameshbhai Patel,Pension,Vadodara,3000,2025-09-18,0,FAILED
B115710,473637109562,Rameshbhai Patel,PM-KISAN,Rajkot,1000,2025-11-13,1,SUCCESS
B115711,156907495233,Amit Joshi,PM-KISAN,Vadodara,3000,2025-07-25,0,FAILED
B115712,560453134262,Amit Joshi,PM-KISAN,Ahmedabad,2000,2025-06-01,1,SUCCESS
B115713,805689362587,Suresh Patel,Pension,Ahmedabad,5000,2024-02-11,0,SUCCESS
B115714,222928816517,Mahesh Shah,Scholarship,Bhavnagar,2000,2023-11-17,1,FAILED
B115715,464245632029,Mahesh Shah,PM-KISAN,Vadodara,1000,2025-04-16,0,FAILED
B115716,936289490276,Kiran Desai,Scholarship,Bhavnagar,2000,2025-02-01,0,FAILED
B115717,402834630337,Amit Joshi,Scholarship,Surat,3000,2024-05-27,0,SUCCESS
B115718,426873131355,Ramesh Patel,Pension,Ahmedabad,3000,2024-05-19,0,SUCCESS
B115719,697981534839,Kiranben Desai,Pension,Bhavnagar,2000,2025-08-22,0,SUCCESS
B115720,168911693872,Maheshbhai Shah,PM-KISAN,Rajkot,1000,2024-11-13,1,SUCCESS
B115721,982110735586,Rameshbhai Patel,PM-KISAN,Surat,3000,2023-01-27,0,FAILED
B115722,577274920886,Amit Joshi,PM-KISAN,Surat,2000,2023-01-07,0,SUCCESS
B115723,189766504972,Ramesh Patel,Pension,Ahmedabad,2000,2025-07-11,1,SUCCESS
B115724,831804526927,Amit Joshi,Scholarship,Bhavnagar,3000,2023-09-28,1,FAILED
B115725,124562941411,Amit Joshi,PM-KISAN,Bhavnagar,3000,2023-07-08,0,SUCCESS
B115726,837161299868,Mahesh Shah,Pension,Rajkot,3000,2024-01-15,0,FAILED
B115727,802749647613,Amit Joshi,Pension,Bhavnagar,5000,2023-05-19,0,FAILED
B115728,288252768798,Amit Joshi,Pension,Bhavnagar,5000,2025-08-27,0,FAILED
B115729,173093246174,Kiranben Desai,PM-KISAN,Rajkot,3000,2023-04-29,0,FAILED
B115730,832115527399,Mahesh Shah,Pension,Vadodara,2000,2023-06-14,0,FAILED
B115731,112514263762,Rameshbhai Patel,Scholarship,Bhavnagar,1000,2024-07-17,1,FAILED
B115732,550180637149,Suresh Patel,Pension,Bhavnagar,3000,2023-11-20,1,FAILED
B115733,634010009839,Suresh Patel,Scholarship,Vadodara,1000,2024-08-24,0,FAILED
B115734,764062371046,Amit Joshi,Scholarship,Vadodara,2000,2023-08-26,1,FAILED
B115735,283094982998,Ramesh Patel,Pension,Ahmedabad,2000,2023-08-29,0,SUCCESS
B115736,612273182732,Ramesh Ptl,Pension,Surat,1000,2024-01-30,0,SUCCESS
B115737,557485869388,Suresh Patel,PM-KISAN,Vadodara,5000,2024-05-20,1,SUCCESS
B115738,900677438314,Amit Joshi,Scholarship,Rajkot,1000,2024-06-25,0,SUCCESS
B115739,434382311929,Maheshbhai Shah,Pension,Vadodara,1000,2023-05-17,0,FAILED
B115740,727041017813,Suresh Patel,PM-KISAN,Rajkot,1000,2025-08-29,0,SUCCESS
B115741,777652885826,Ramesh Patel,Pension,Ahmedabad,3000,2025-10-03,0,SUCCESS
B115742,434195031359,Sureshbhai Patel,Pension,Surat,5000,2025-01-08,1,FAILED
B115743,512743588078,Mahesh Shah,Scholarship,Ahmedabad,5000,2023-07-06,1,FAILED
B115744,613040783373,Amit Joshi,PM-KISAN,Ahmedabad,3000,2025-10-08,0,FAILED
B115745,186658075472,Ramesh Patel,PM-KISAN,Surat,1000,2025-05-25,1,FAILED
B115746,418608741996,Suresh Patel,Scholarship,Rajkot,3000,2025-03-03,1,FAILED
B115747,324709592160,Ramesh Patel,Pension,Vadodara,1000,2023-02-05,1,FAILED
B115748,553354691076,Rameshbhai Patel,Scholarship,Ahmedabad,3000,2025-06-03,0,SUCCESS
B115749,553354691076,Amit J.,Pension,Surat,5000,2025-06-14,1,FAILED
B115750,527783974247,Suresh Patel,Scholarship,Bhavnagar,2000,2025-01-31,0,SUCCESS
B115751,866803632318,Sureshbhai Patel,PM-KISAN,Rajkot,2000,2023-05-13,1,SUCCESS
B115752,119541020534,Mahesh S.,Pension,Surat,5000,2023-08-12,0,SUCCESS
B115753,853693667234,Ramesh Patel,Scholarship,Surat,5000,2025-07-21,1,SUCCESS
B115754,613897104441,Suresh Patel,Scholarship,Ahmedabad,2000,2023-02-14,1,SUCCESS
B115755,398594067651,Sureshbhai Patel,PM-KISAN,Ahmedabad,5000,2024-03-25,1,SUCCESS
B115756,678633927318,Kiran Desai,PM-KISAN,Vadodara,5000,2023-08-23,0,SUCCESS
B115757,324979134873,Amit Joshi,PM-KISAN,Bhavnagar,1000,2023-02-22,1,SUCCESS
B115758,909795216201,Amit Joshi,Pension,Bhavnagar,3000,2025-11-19,1,SUCCESS
B115759,653256983224,Amit Joshi,Pension,Rajkot,3000,2025-11-11,1,FAILED
B115760,983459471135,Ramesh Patel,PM-KISAN,Ahmedabad,5000,2023-12-27,0,SUCCESS
B115761,624986657488,Maheshbhai Shah,Pension,Surat,5000,2025-07-28,1,FAILED
B115762,551384916025,Amit Joshi,PM-KISAN,Ahmedabad,3000,2024-04-18,1,FAILED
B115763,392605876804,Amit Joshi,Pension,Surat,1000,2025-10-10,1,SUCCESS
B115764,699446621303,Suresh Patel,Scholarship,Bhavnagar,5000,2024-07-19,1,FAILED
B115765,763915253688,Suresh Patel,Scholarship,Vadodara,3000,2025-07-20,1,FAILED
B115766,656198163567,Ramesh Patel,Scholarship,Surat,1000,2025-09-08,1,SUCCESS
B115767,665910180622,Amit Joshi,PM-KISAN,Bhavnagar,5000,2025-02-26,1,FAILED
B115768,181968450832,Suresh Ptl,Pension,Vadodara,5000,2023-02-26,0,SUCCESS
B115769,496726684333,Suresh Patel,Pension,Bhavnagar,2000,2025-02-15,1,FAILED
B115770,472995405106,Rameshbhai Patel,Pension,Ahmedabad,1000,2024-07-24,1,SUCCESS
B115771,555668952298,Rmsh Patel,PM-KISAN,Vadodara,5000,2025-09-20,0,SUCCESS
B115772,939712070415,Ramesh Patel,Pension,Rajkot,2000,2024-02-27,1,FAILED
B115773,635259293263,Kiranben Desai,Scholarship,Bhavnagar,2000,2024-03-19,0,FAILED
B115774,215319690394,Amit Joshi,Scholarship,Vadodara,1000,2023-11-09,1,SUCCESS
B115775,169705331091,Kiran Desai,Scholarship,Ahmedabad,3000,2023-03-23,0,SUCCESS
B115776,174581043233,Mahesh S.,Pension,Ahmedabad,2000,2024-09-17,1,SUCCESS
B115777,589026773753,Kiran Desai,Scholarship,Surat,2000,2023-06-06,1,FAILED
B115778,359960614267,Amit J.,Pension,Surat,5000,2024-02-28,0,SUCCESS
B115779,633983108186,Kiran Desai,PM-KISAN,Bhavnagar,3000,2025-02-10,1,SUCCESS
B115780,355333595810,Kiran Desai,Scholarship,Vadodara,3000,2023-12-12,1,FAILED
B115781,196783410878,Kiranben Desai,Scholarship,Vadodara,5000,2024-01-14,1,FAILED
B115782,422407224552,Rameshbhai Patel,Pension,Surat,1000,2025-05-09,0,FAILED
B115783,242480056127,Ramesh Patel,Scholarship,Surat,1000,2024-01-25,1,FAILED
B115784,776578246322,Kiran Desai,Pension,Ahmedabad,5000,2025-03-22,0,FAILED
B115785,999561594032,Amit Joshi,Scholarship,Bhavnagar,2000,2025-08-07,0,FAILED
B115786,158792324371,Suresh Patel,Pension,Rajkot,2000,2023-10-01,1,FAILED
B115787,590035340834,Amit J.,Pension,Bhavnagar,3000,2025-07-08,1,FAILED
B115788,267693687313,Ramesh Patel,Pension,Surat,5000,2023-12-17,0,SUCCESS
B115789,111347408539,Mahesh Shah,Scholarship,Bhavnagar,3000,2024-02-13,0,FAILED
B115790,777756122454,Suresh Ptl,Pension,Surat,2000,2025-04-27,1,SUCCESS
B115791,217378651076,Rmsh Patel,PM-KISAN,Rajkot,3000,2023-05-28,0,SUCCESS
B115792,702836451408,Suresh Patel,Scholarship,Ahmedabad,3000,2023-09-08,1,SUCCESS
B115793,578176466435,Mahesh Shah,Scholarship,Ahmedabad,1000,2025-08-29,1,FAILED
B115794,256347935823,Kiran Desai,PM-KISAN,Rajkot,2000,2024-02-26,0,FAILED
B115795,760571579487,Kiran Desai,Scholarship,Rajkot,5000,2025-09-30,0,SUCCESS
B115796,126167461029,Ramesh Patel,Pension,Ahmedabad,3000,2025-10-31,1,SUCCESS
B115797,492919998182,Kiran Desai,PM-KISAN,Rajkot,3000,2025-11-13,0,SUCCESS
B115798,151693168250,Kiranben Desai,Pension,Ahmedabad,2000,2023-03-27,1,FAILED
B115799,638767406037,Suresh Patel,PM-KISAN,Surat,1000,2023-06-12,1,FAILED
B115800,841075506321,Mahesh Shah,PM-KISAN,Vadodara,5000,2023-10-07,1,SUCCESS
B115801,387641979632,Suresh Patel,PM-KISAN,Vadodara,2000,2024-07-29,0,SUCCESS
B115802,130166445898,Mahesh Shah,Scholarship,Bhavnagar,1000,2024-02-17,0,SUCCESS
B115803,592946040330,Amit Joshi,PM-KISAN,Bhavnagar,3000,2025-05-23,1,SUCCESS
B115804,851799251778,Kiran Desai,Pension,Bhavnagar,5000,2023-01-16,0,SUCCESS
B115805,457944374493,Rmsh Patel,Pension,Vadodara,1000,2024-07-10,1,SUCCESS
B115806,530268391473,Amit Joshi,Pension,Surat,2000,2024-08-03,0,SUCCESS
B115807,910855507068,Amit Joshi,PM-KISAN,Surat,2000,2025-01-01,1,FAILED
B115808,874825255399,Amit Joshi,Scholarship,Rajkot,2000,2023-11-08,1,FAILED
B115809,575723648834,Kiran Desai,Pension,Bhavnagar,3000,2023-11-06,1,SUCCESS
B115810,116166782383,Amit Joshi,Pension,Ahmedabad,2000,2024-05-23,1,FAILED
B115811,298388921269,Amit Joshi,PM-KISAN,Rajkot,3000,2025-10-26,0,SUCCESS
B115812,638189811642,Kiran Desai,Scholarship,Rajkot,1000,2025-07-15,1,FAILED
B115813,368381594566,Kiran D.,Scholarship,Vadodara,2000,2024-04-03,1,FAILED
B115814,343645290392,Kiran Desai,Pension,Bhavnagar,3000,2023-08-03,0,SUCCESS
B115815,138668618218,Kiran Desai,Scholarship,Bhavnagar,2000,2025-10-07,1,FAILED
B115816,361002848785,Suresh Patel,PM-KISAN,Vadodara,2000,2023-06-03,1,FAILED
B115817,476051545393,Ramesh Patel,Pension,Rajkot,3000,2025-05-20,1,FAILED
B115818,146165782930,Suresh Patel,Pension,Surat,2000,2024-05-18,0,SUCCESS
B115819,425107696289,Mahesh Shah,PM-KISAN,Surat,1000,2025-11-20,1,FAILED
B115820,298695114742,Mahesh Shah,Scholarship,Vadodara,3000,2025-01-12,0,SUCCESS
B115821,789119259753,Kiranben Desai,Pension,Ahmedabad,1000,2023-09-27,0,SUCCESS
B115822,606296104363,Mahesh Shah,Scholarship,Ahmedabad,1000,2025-08-22,0,SUCCESS
B115823,764297200412,Ramesh Patel,Pension,Vadodara,3000,2023-11-24,1,FAILED
B115824,844023466766,Suresh Patel,PM-KISAN,Ahmedabad,2000,2025-02-13,0,SUCCESS
B115825,864999352511,Amit J.,Scholarship,Surat,2000,2025-05-16,1,SUCCESS
B115826,817941687866,Suresh Patel,Pension,Rajkot,1000,2023-06-28,0,SUCCESS
B115827,708073106060,Kiran Desai,PM-KISAN,Bhavnagar,5000,2024-12-09,0,FAILED
B115828,423089310980,Ramesh Patel,Pension,Bhavnagar,5000,2025-12-06,1,FAILED
B115829,336758565694,Mahesh Shah,Scholarship,Bhavnagar,1000,2023-09-06,0,SUCCESS
B115830,238489427160,Kiran Desai,Pension,Vadodara,5000,2024-06-08,0,SUCCESS
B115831,758166492706,Ramesh Patel,Pension,Rajkot,1000,2024-01-29,0,SUCCESS
B115832,839946674141,Suresh Patel,PM-KISAN,Vadodara,3000,2023-01-30,0,FAILED
B115833,483907662056,Ramesh Ptl,Scholarship,Rajkot,3000,2025-10-17,0,FAILED
B115834,251131863697,Suresh Patel,PM-KISAN,Surat,5000,2025-09-09,1,SUCCESS
B115835,126813391013,Amit Joshi,PM-KISAN,Vadodara,1000,2023-01-15,1,SUCCESS
B115836,126813391013,Ramesh Patel,Scholarship,Vadodara,2000,2024-09-06,1,FAILED
B115837,204179939957,Kiran Desai,Pension,Ahmedabad,1000,2025-02-20,0,FAILED
B115838,187720368810,Amit J.,PM-KISAN,Bhavnagar,2000,2025-01-15,0,FAILED
B115839,605957069550,Suresh Ptl,PM-KISAN,Rajkot,1000,2024-05-30,1,FAILED
B115840,573736378973,Amit Joshi,Pension,Ahmedabad,3000,2025-07-10,0,FAILED
B115841,858283868948,Kiran Desai,Scholarship,Vadodara,2000,2025-07-17,0,SUCCESS
B115842,325809038267,Amit Joshi,Scholarship,Rajkot,3000,2025-06-18,1,SUCCESS
B115843,325809038267,Kiran Desai,Pension,Ahmedabad,2000,2025-07-22,0,SUCCESS
B115844,124927094153,Suresh Ptl,Pension,Vadodara,3000,2024-11-09,0,SUCCESS
B115845,182445450120,Kiran Desai,PM-KISAN,Bhavnagar,5000,2025-12-12,0,FAILED
B115846,440039963887,Sureshbhai Patel,Pension,Rajkot,1000,2023-07-11,0,FAILED
B115847,270051228642,Mahesh Shah,Scholarship,Surat,3000,2025-09-10,0,FAILED
B115848,368035077294,Sureshbhai Patel,Scholarship,Ahmedabad,3000,2024-12-08,1,SUCCESS
B115849,414958200147,Maheshbhai Shah,Pension,Rajkot,1000,2024-04-04,1,SUCCESS
B115850,474807658537,Mahesh S.,Scholarship,Vadodara,1000,2023-02-06,1,SUCCESS
B115851,735221329069,Amitbhai Joshi,PM-KISAN,Bhavnagar,3000,2024-02-08,0,SUCCESS
B115852,101234004066,Kiran Desai,Scholarship,Vadodara,5000,2025-07-18,1,SUCCESS
B115853,580412136871,Maheshbhai Shah,Scholarship,Rajkot,3000,2025-02-17,1,FAILED
B115854,970239702949,Mahesh Shah,Scholarship,Ahmedabad,3000,2025-04-08,0,FAILED
B115855,961709525906,Mahesh Shah,PM-KISAN,Ahmedabad,2000,2023-01-19,0,FAILED
B115856,407908912684,Mahesh Shah,Pension,Surat,1000,2024-11-20,0,SUCCESS
B115857,408818214819,Kiran Desai,PM-KISAN,Ahmedabad,5000,2024-12-05,0,FAILED
B115858,360995506969,Kiran Desai,PM-KISAN,Bhavnagar,5000,2024-01-12,0,SUCCESS
B115859,582923532577,Kiranben Desai,PM-KISAN,Vadodara,1000,2025-04-05,1,FAILED
B115860,598820000297,Rmsh Patel,Pension,Vadodara,2000,2025-06-01,0,FAILED
B115861,152631291344,Amit Joshi,Scholarship,Ahmedabad,3000,2025-07-25,1,FAILED
B115862,744925185058,Amit Joshi,Pension,Bhavnagar,2000,2023-04-09,0,FAILED
B115863,517237670493,Ramesh Patel,Scholarship,Bhavnagar,2000,2024-10-20,0,FAILED
B115864,347993601642,Kiran D.,Scholarship,Bhavnagar,2000,2024-01-03,0,FAILED
B115865,801231654011,Amit Joshi,Pension,Rajkot,1000,2025-09-11,0,FAILED
B115866,347083052111,Ramesh Patel,PM-KISAN,Rajkot,5000,2024-03-08,1,FAILED
B115867,244284970844,Amit Joshi,Scholarship,Surat,3000,2024-12-13,0,SUCCESS
B115868,371761113570,Kiranben Desai,Pension,Rajkot,3000,2025-08-28,1,SUCCESS
B115869,995940761095,Mahesh Shah,Pension,Surat,3000,2025-11-08,1,FAILED
B115870,138504986856,Amit Joshi,Scholarship,Ahmedabad,2000,2023-09-23,0,FAILED
B115871,181704427252,Mahesh Shah,PM-KISAN,Surat,5000,2025-09-24,1,SUCCESS
B115872,825693654965,Amit J.,PM-KISAN,Rajkot,2000,2024-09-23,1,FAILED
B115873,159438211482,Sureshbhai Patel,PM-KISAN,Surat,3000,2023-08-30,1,FAILED
B115874,682233748140,Rameshbhai Patel,Scholarship,Vadodara,2000,2025-01-03,0,FAILED
B115875,269928422130,Suresh Patel,PM-KISAN,Rajkot,3000,2025-04-08,0,SUCCESS
B115876,294302892179,Amit Joshi,Pension,Vadodara,1000,2024-02-01,0,FAILED
B115877,977747936665,Mahesh Shah,Scholarship,Surat,5000,2024-10-13,1,SUCCESS
B115878,513771034773,Suresh Patel,PM-KISAN,Vadodara,3000,2025-06-22,1,FAILED
B115879,569071264391,Mahesh S.,PM-KISAN,Vadodara,1000,2024-05-02,0,FAILED
B115880,466643666033,Sureshbhai Patel,Pension,Bhavnagar,1000,2025-05-01,1,SUCCESS
B115881,197620395965,Ramesh Patel,Pension,Ahmedabad,1000,2025-07-30,0,FAILED
B115882,535461959141,Mahesh Shah,Scholarship,Bhavnagar,3000,2023-03-15,0,FAILED
B115883,650233203920,Suresh Patel,Pension,Surat,2000,2025-10-16,0,SUCCESS
B115884,704777882792,Amit Joshi,PM-KISAN,Rajkot,3000,2025-11-27,0,SUCCESS
B115885,831404011316,Ramesh Ptl,Scholarship,Rajkot,2000,2025-03-11,0,SUCCESS
B115886,929533425954,Ramesh Patel,PM-KISAN,Vadodara,2000,2025-04-20,0,FAILED
B115887,513986317077,Mahesh S.,Pension,Bhavnagar,3000,2024-06-02,0,SUCCESS
B115888,551563872990,Ramesh Patel,Pension,Ahmedabad,5000,2024-07-23,0,SUCCESS
B115889,850910686745,Amit Joshi,PM-KISAN,Bhavnagar,3000,2023-07-04,0,FAILED
B115890,380423696089,Mahesh Shah,Scholarship,Bhavnagar,5000,2024-12-18,0,FAILED
B115891,936346500047,Kiranben Desai,Pension,Rajkot,3000,2023-08-23,1,FAILED
B115892,624459891461,Mahesh Shah,Scholarship,Ahmedabad,3000,2025-01-29,1,SUCCESS
B115893,678128392890,Ramesh Patel,Pension,Vadodara,2000,2024-03-30,1,FAILED
B115894,164922060638,Suresh Patel,PM-KISAN,Bhavnagar,3000,2023-08-22,1,FAILED
B115895,856628882021,Ramesh Patel,Scholarship,Ahmedabad,1000,2024-09-14,1,FAILED
B115896,476970152477,Mahesh Shah,PM-KISAN,Bhavnagar,1000,2024-05-17,1,FAILED
B115897,314509804356,Kiran Desai,PM-KISAN,Rajkot,2000,2023-10-05,0,FAILED
B115898,923412848701,Mahesh Shah,Pension,Surat,1000,2024-04-12,0,FAILED
B115899,985560935022,Suresh Patel,Pension,Ahmedabad,2000,2024-06-10,1,FAILED
B115900,288843106696,Ramesh Patel,Scholarship,Bhavnagar,1000,2024-05-05,0,FAILED
B115901,369252266984,Ramesh Patel,Pension,Bhavnagar,2000,2025-03-29,0,SUCCESS
B115902,801363036357,Mahesh Shah,PM-KISAN,Rajkot,1000,2023-05-11,0,FAILED
B115903,178162266441,Rmsh Patel,Pension,Surat,1000,2024-03-09,0,SUCCESS
B115904,782250214164,Kiran Desai,PM-KISAN,Vadodara,5000,2023-07-04,1,FAILED
B115905,790972528084,Mahesh Shah,PM-KISAN,Rajkot,5000,2024-11-01,0,SUCCESS
B115906,541345135227,Mahesh Shah,PM-KISAN,Vadodara,3000,2023-03-28,0,FAILED
B115907,861103364800,Mahesh S.,Pension,Surat,1000,2023-10-25,0,SUCCESS
B115908,778024607449,Mahesh Shah,Pension,Surat,1000,2025-11-22,0,SUCCESS
B115909,680193627011,Amit J.,PM-KISAN,Rajkot,2000,2023-05-27,0,SUCCESS
B115910,737659963213,Amit Joshi,Pension,Vadodara,1000,2025-07-01,0,FAILED
B115911,673750105273,Suresh Patel,PM-KISAN,Surat,5000,2025-06-06,0,SUCCESS
B115912,530599737176,Suresh Patel,PM-KISAN,Surat,2000,2025-04-27,1,SUCCESS
B115913,496038440086,Amit J.,PM-KISAN,Rajkot,3000,2025-07-25,1,FAILED
B115914,152124746330,Kiran Desai,PM-KISAN,Bhavnagar,5000,2023-09-04,1,FAILED
B115915,624204661986,Ramesh Patel,Scholarship,Vadodara,3000,2025-06-03,1,FAILED
B115916,426930298708,Mahesh Shah,PM-KISAN,Rajkot,1000,2023-03-05,1,SUCCESS
B115917,659397799900,Amit Joshi,PM-KISAN,Rajkot,3000,2025-06-14,0,FAILED
B115918,212884585505,Amit Joshi,PM-KISAN,Bhavnagar,3000,2023-09-14,1,FAILED
B115919,172820848635,Mahesh Shah,Scholarship,Vadodara,1000,2023-05-07,0,SUCCESS
B115920,507234187806,Suresh Patel,Pension,Vadodara,3000,2024-12-14,0,FAILED
B115921,917114668059,Suresh Patel,Pension,Bhavnagar,2000,2023-10-22,0,FAILED
B115922,239444427980,Amit J.,Pension,Rajkot,5000,2025-03-15,1,FAILED
B115923,927221628490,Kiran Desai,Pension,Vadodara,3000,2025-04-21,1,FAILED
B115924,654300161873,Ramesh Patel,Pension,Ahmedabad,1000,2024-02-24,0,SUCCESS
B115925,605619292502,Kiran Desai,PM-KISAN,Ahmedabad,1000,2024-07-29,1,SUCCESS
B115926,310702325148,Amit Joshi,Pension,Bhavnagar,3000,2024-02-03,1,FAILED
B115927,549161117574,Kiran Desai,PM-KISAN,Ahmedabad,3000,2024-05-19,1,SUCCESS
B115928,491844647709,Mahesh Shah,Scholarship,Rajkot,1000,2025-08-18,0,SUCCESS
B115929,542317784871,Ramesh Patel,PM-KISAN,Bhavnagar,1000,2025-05-30,1,FAILED
B115930,156826790263,Amit Joshi,Pension,Vadodara,2000,2024-12-07,0,FAILED
B115931,748692416390,Suresh Patel,Scholarship,Ahmedabad,5000,2024-03-28,0,SUCCESS
B115932,242497923655,Mahesh S.,Scholarship,Vadodara,1000,2023-02-09,1,SUCCESS
B115933,858382383842,Mahesh Shah,Scholarship,Ahmedabad,1000,2023-11-08,1,FAILED
B115934,778135448056,Amitbhai Joshi,Scholarship,Ahmedabad,2000,2025-12-16,0,FAILED
B115935,867185597843,Kiran Desai,PM-KISAN,Bhavnagar,1000,2023-08-02,1,SUCCESS
B115936,716121017184,Mahesh Shah,Pension,Rajkot,2000,2025-08-03,0,FAILED
B115937,347082633974,Mahesh S.,Scholarship,Rajkot,5000,2023-11-25,1,FAILED
B115938,376204086865,Mahesh Shah,Pension,Bhavnagar,3000,2024-08-08,1,FAILED
B115939,480678776913,Amit Joshi,Scholarship,Surat,5000,2023-08-03,1,SUCCESS
B115940,431988054269,Mahesh Shah,Pension,Ahmedabad,2000,2023-05-22,1,FAILED
B115941,148689542296,Ramesh Patel,Pension,Bhavnagar,2000,2024-03-01,0,SUCCESS
B115942,781583617750,Ramesh Patel,Scholarship,Ahmedabad,1000,2025-05-29,0,SUCCESS
B115943,221215670265,Kiran Desai,Scholarship,Bhavnagar,2000,2025-12-29,0,SUCCESS
B115944,128530426609,Mahesh Shah,Scholarship,Vadodara,3000,2025-09-18,0,FAILED
B115945,207111623438,Mahesh Shah,PM-KISAN,Rajkot,3000,2025-03-23,0,SUCCESS
B115946,718686583889,Amitbhai Joshi,PM-KISAN,Rajkot,2000,2024-12-07,1,FAILED
B115947,880093901751,Amit Joshi,Pension,Ahmedabad,2000,2025-05-06,1,FAILED
B115948,293408697911,Mahesh Shah,Pension,Rajkot,1000,2024-07-29,0,SUCCESS
B115949,218802945491,Kiran D.,Scholarship,Rajkot,5000,2024-01-09,1,SUCCESS
B115950,935151413530,Rmsh Patel,Pension,Bhavnagar,5000,2025-06-17,0,FAILED
B115951,614766168239,Maheshbhai Shah,Pension,Ahmedabad,3000,2023-01-29,1,FAILED
B115952,968132169937,Ramesh Patel,PM-KISAN,Bhavnagar,3000,2025-03-03,0,FAILED
B115953,565988708100,Mahesh Shah,Scholarship,Vadodara,1000,2023-06-23,1,SUCCESS
B115954,673081522624,Amit Joshi,Pension,Rajkot,3000,2025-03-25,0,SUCCESS
B115955,723707614494,Ramesh Patel,PM-KISAN,Rajkot,2000,2023-06-08,1,FAILED
B115956,557621437215,Amit Joshi,Pension,Surat,5000,2023-03-23,1,SUCCESS
B115957,426554642074,Maheshbhai Shah,PM-KISAN,Rajkot,1000,2024-08-12,0,SUCCESS
B115958,730641684689,Amit Joshi,Pension,Rajkot,1000,2023-09-08,0,FAILED
B115959,578541557224,Ramesh Patel,PM-KISAN,Rajkot,1000,2023-05-21,1,FAILED
B115960,896434191209,Maheshbhai Shah,Scholarship,Ahmedabad,5000,2023-10-31,0,SUCCESS
B115961,519234194489,Ramesh Patel,Pension,Ahmedabad,1000,2025-10-24,0,FAILED
B115962,660197594199,Kiran Desai,Scholarship,Surat,5000,2023-01-31,0,SUCCESS
B115963,285423278792,Ramesh Ptl,PM-KISAN,Bhavnagar,1000,2024-04-26,1,FAILED
